Year;Country;Indicator;value
2014;UAE;Number of Vehicles;2941787.0
2009;Bahrain;Number of Vehicles;465011.0
2015;Bahrain;Number of Vehicles;647408.0
2008;Saudi Arabia;Number of Vehicles;12785764.0
2009;Saudi Arabia;Number of Vehicles;13446991.0
2018;Saudi Arabia;Number of Vehicles;
2011;Oman;Number of Vehicles;886784.0
2013;Qatar;Number of Vehicles;939914.0
2015;Kuwait;Number of Vehicles;1925168.0
2018;Total GCC;Number of Vehicles;
2018;UAE;Number of Vehicles;
2008;Bahrain;Number of Vehicles;439418.0
2016;Kuwait;Number of Vehicles;2001940.0
2012;Total GCC;Number of Vehicles;21642594.0
2015;Total GCC;Number of Vehicles;23083965.0
2015;UAE;Number of Vehicles;
2016;Bahrain;Number of Vehicles;653040.0
2011;Saudi Arabia;Number of Vehicles;14144663.0
2015;Saudi Arabia;Number of Vehicles;17856097.0
2015;Oman;Number of Vehicles;1302312.0
2016;Qatar;Number of Vehicles;1447479.0
2011;Kuwait;Number of Vehicles;1554737.0
2013;Kuwait;Number of Vehicles;1748424.0
2008;Total GCC;Number of Vehicles;17820344.0
2009;Total GCC;Number of Vehicles;18630166.0
2013;Total GCC;Number of Vehicles;23183335.0
2016;Total GCC;Number of Vehicles;
2009;UAE;Number of Vehicles;1744968.0
2012;UAE;Number of Vehicles;2523026.0
2016;UAE;Number of Vehicles;
2017;UAE;Number of Vehicles;
2012;Bahrain;Number of Vehicles;545770.0
2013;Bahrain;Number of Vehicles;585511.0
2018;Bahrain;Number of Vehicles;718692.0
2012;Saudi Arabia;Number of Vehicles;14928200.0
2010;Oman;Number of Vehicles;804233.0
2013;Oman;Number of Vehicles;1064555.0
2014;Oman;Number of Vehicles;1175283.0
2016;Oman;Number of Vehicles;1370913.0
2017;Oman;Number of Vehicles;1443565.0
2008;Qatar;Number of Vehicles;789517.0
2010;Qatar;Number of Vehicles;835135.0
2008;Kuwait;Number of Vehicles;1353390.0
2014;Kuwait;Number of Vehicles;1837372.0
2018;Kuwait;Number of Vehicles;2075475.0
2008;UAE;Number of Vehicles;1731939.0
2013;UAE;Number of Vehicles;2674894.0
2017;Bahrain;Number of Vehicles;686622.0
2010;Saudi Arabia;Number of Vehicles;11826255.0
2013;Saudi Arabia;Number of Vehicles;15903144.0
2014;Saudi Arabia;Number of Vehicles;16824918.0
2012;Oman;Number of Vehicles;972289.0
2009;Qatar;Number of Vehicles;802334.0
2011;Qatar;Number of Vehicles;816883.0
2012;Qatar;Number of Vehicles;877127.0
2015;Qatar;Number of Vehicles;1352980.0
2018;Qatar;Number of Vehicles;1587815.0
2010;Kuwait;Number of Vehicles;1477769.0
2017;Kuwait;Number of Vehicles;2079516.0
2010;Total GCC;Number of Vehicles;17748908.0
2011;Total GCC;Number of Vehicles;20433029.0
2014;Total GCC;Number of Vehicles;21460438.0
2017;Total GCC;Number of Vehicles;
2011;UAE;Number of Vehicles;2318408.0
2010;Bahrain;Number of Vehicles;487108.0
2011;Bahrain;Number of Vehicles;506936.0
2014;Bahrain;Number of Vehicles;618157.0
2016;Saudi Arabia;Number of Vehicles;
2017;Saudi Arabia;Number of Vehicles;
2008;Oman;Number of Vehicles;720316.0
2009;Oman;Number of Vehicles;755937.0
2018;Oman;Number of Vehicles;1492353.0
2014;Qatar;Number of Vehicles;1004708.0
2017;Qatar;Number of Vehicles;1522733.0
2009;Kuwait;Number of Vehicles;1414925.0
2012;Kuwait;Number of Vehicles;1644314.0
